,sentence,category
3300, रेफ्रीको खराब निर्णयका कारण जोन ओसलाई रातो कार्ड दिनुपर्ने स्थितिमा अर्का डिफेन्डर वेस  ब्राउनलाई दिएका थिए ,Sports
3301,"मनमायाका अनुसार, श्रीमान् पाँच वर्षदेखि कार्यरत कम्पनी ‘इभरसेन्डी इञ्जिनियरिङ’ले प्रहरीलाई तिर्नुपर्ने जरिवाना तिरिसकेको छ ",National
3302, अध्ययन अध्यापन सम्वन्धि ऐन बनाउन शिक्षक काउन्सिल समेत बनाउन लागेको जानकारी दिँदै उनले ऐन कार्यान्वयनकालागि जिम्मेवार भएर अगाडि बढ्न शिक्षकहरुसँग आग्रह गरे ,National
3303,नायिका रेखा थापा केहि न केहि कुरा गरेर सदै मिडियामा चर्चामा रहि रहन छिन्,Entertainment
3304,सिड्नीमा आयोजित बिशेष समारोहका बिच गैरआवासीय नेपाली संघका अध्यक्ष शेष घलेले आइतबार अनलाइनखबर अष्ट्रेलिया संस्करणको औपचारिक उद्घाटन गर्नुभयो ,National
3305, लामो नाकाबन्दी र भूकम्पका कारण अस्तव्यस्त भएको अर्थतन्त्रलाई जसरी पनि चलायमान बनाउन यो मेला आयोजना गरिएको हो ,Economy
3306, निरीक्षणपछि जिल्लास्तरमा काठमा भएको बेथितिका कारण बजारमा काठ हाहाकार भएको निष्कर्ष टोलीले लिकालेको छ ,Economy
3307, उनलाई होबर्ट टेस्टमा बलमाथि छेडछाड गरेको आरोपमा पारिश्रमिकको शतप्रतिशत रकम जरिवानास्वरुप कट्टा गर्ने निर्णय गरिएको छ,Sports
3308, टाइगरभन्दा पहिले सो चलचित्रका लागि आमिर खानलाई प्रस्ताप गरिए पनि उनले अस्वीकार गरिसकेका छन,Entertainment
3309,यसअघि कार्यविधी अस्पष्ट रहेको र जग्गाको भाडासमेत अत्यन्तै चर्को भएको भन्दै उद्योगी व्यवसायी तर्सिएका थिए ,Economy
3310,कम भन्सार मूल्यांकन र न्यून बिजकीकरणका समस्या नियन्त्रण गर्न के–के प्रयास भएका छन् ,Economy
3311," खेलाडीले कार्ड देखाएका कारण रेफ्रीले मैदान छाड्नु त परेन, तर, सालेह डर्सन आफैंले मैदान छाड्नु पर्यो ",National
3312, समझदारी पत्रमा चेम्वरका अध्यक्ष राजेशकाजी श्रेष्ठ र सिक्किम चेम्वरका अध्यक्ष अशोक शारदाले हस्ताक्षर गरे ,Economy
3313," तराई/मधेसको बन्द, भारतीय नाकाबन्दीका कारण भएको इन्धन अभाव तथा आपूर्ति अवरोधले विकास खर्च न्यून भएको हो",Economy
3314, लामो समयदेखि सरकारी निकायको मुख ताकेर बस्दा पनी सिँचाइ सुविधाका लागि पाइने अनुदान नपाइएकाले आफ्नै लगानीमा पम्प जडान गरिएको त्यहाँका स्थानीय बताउँछन् ,Economy
3315, तरपनि आज म छट्पटाउँदा मलाई उहाँहरुले आफ्नो पिडा सबै लुकाएर मलाई समाल्न शक्ति प्रदान गर्नु भएकोमा म आभारी बनेकी छु,Entertainment
3316,नेपालमा अन्तर्राष्ट्रियस्तरको होटल व्यवसायथाल्ने बोरिस लिसानोभिचकाबारे बनेको फिल्म‘टाइगर फर ब्रेकफास्ट’ बाट महोत्सवको समापन हुने फेस्टिभल निर्देशक रम्यता लिम्बुले जानकारी दिइन् ,Entertainment
3317, राष्ट्र बैंकका प्रवक्ता पंगेनीका अनुसार व्याजदर कम भएपछि सर्वसाधारणले बैंकमा पैसा राख्नुभन्दा उपभोगमा खर्च बढाउँछन् ,National
3318, अघिल्लो निर्वाचन पूर्व मोहोमद बिन हमाम निलम्बनमा परेपछि उनी निर्बिरोध निर्वाचित भएका थिए ,Sports
3319, संजय भन्सालीको फिल्म & रामलिला& मा काम गरेर तारिफ कमाएकी दीपिका भंसालीकै अर्को फिल्म  बाजीराव मस्तानी मा अभिनय गर्नको लागि तयार भएकी छिन् ,Entertainment
3320, चन्दन दत्तको सम्पादन रहेको चलचित्रलाइ गणेश श्रेष्ठले छायाँकन गरेका हुन् ,Entertainment
3321,’स्रोतका अनुसार मधेसी मोर्चाले अघि सारेको छबुँदे प्रस्तावलाई आधार बनाएर सहमति खोज्न एमाओवादीले पहल गरिरहेको छ ,National
3322,प्रधानमन्त्री केपी ओलीको भ्रमणका क्रममा भारतसँग विशाखपट्टनम बन्दरगाह प्रयोग गर्ने सम्झौताको कार्यान्वयन ल्याउनेबारे छलफल हुनेछ ,Economy
3323, अर्थ मन्त्रालयका अधिकारी राज्यलाई दीर्घकालीन रूपमा ठूलो भार पर्ने गरी नयाँ कार्यक्रम आउने हो कि भन्ने चिन्तामा छन् ,Economy
3324," सघंको चार वर्षीय कार्यकालको लागि प्रेमनाथ महर्जन महासचिव, सचिवमा महेन्द्र महर्जन र कोषाध्यक्षमा अजय मानन्धर चयन भए ",Sports
3325," तर, केही व्यक्तिहरुले लोकसेवा आयोग अनुसार उमेरहद लागू हुनुपर्ने भन्दै सर्वोच्च अदालतमा मुद्दा दायर गरेपछि सो विषयमा हालसम्म टुङ्गो लागेको छैन ",Economy
3326," ‘त्यसवेला सर्वोच्च अदालतले अर्को व्यवस्था नभएसम्म काम अघि नबढाउनु भनि अन्तरिम आदेश जारी गरेको थियो,’ उनले भने, ‘सो विषयमा वहश भइरहेको छ तर टुङ्गो लागेको छैन ",Economy
3327,तर अहिले उनले आफ्ना बुट फुकाल्ने निर्णय गरेका छन् भने इ-स्पोर्टतर्फ करिअर अगाडि बढाउने निर्णय गरेका छन् ,Sports
3328,सत्तारुढ दलहरूभित्रैबाट सरकारको कार्यशैलीको आलोचना हुन थालेको छ,Sports
3329, केही कार्यक्रममा उनले संस्कृति बिगारेको भन्दै दर्शकबाट बिरोधको सामना पनि गर्नुपरेको छ ,Entertainment
3330,"प्रधानन्यायाधीश कार्कीले उनले भनिन्, ‘जहाँसम्म सभासद भइसकेको भन्ने छ ",National
3331,नेपाली क्रिकेट टोलीका कप्तान पारस खड्का आफूलाई फुटबल फ्यान नै रुचाउँछन् ,Sports
3332," “कानुन नबनाई प्रत्यक्ष बिक्री तथा नेटवर्किङमा लाग्नु ठगी नै हो,” बेल्वासेले भने, “ठगको पछि नलाग्न सर्वसाधारणलाई आग्रह गरेका छौं ",Economy
3333,"तर, कार्यान्वयनमा आशंका तीन महिनापछि प्रचण्डलाई सरकार हस्तान्तरण गर्ने एमाले र एमाओवादीबीचको भद्र सहमतिले यो सरकार लामो समय नटिक्ने विश्लेषण गर्न सकिन्छ ",Economy
3334,"“एकताको लागि दुवैपक्षबाट निर्णय भैसकेको छ,” उनले भने,“क्रान्तिकारी माओवादी, मातृका समूह, जयपुरी घर्ती, विप्लव माओवादीका केही नेताहरु लगायतका राजनीतिक दलहरुसँग एकता प्रक्रिया अघि बढेको छ ",National
3335,पहिलो चरणका बाँकी अन्य सडकहरुको ठेक्का अन्त्य भइसकेकाले पुनः टेण्डर प्रक्रियामा रहेको विकास संसदको समितिको प्रतिवेदनमा उल्लेख छ ,Economy
3336, पुरानादेखि नयाँ पुस्तासम्मका नेपाली कविका उत्कृष्ट सिर्जनाहरू साहित्यका विशिष्ट पाठकहरूमाझ जोड्ने उद्देश्यले शूरू गरिएको ‘हामी’ कवि र कविता मा अाज अमर गिरी र सोझो गाउँलेले आफ्नो कविता वाचन गरे ,Entertainment
3337,त्यति नै बेला निर्वाचन आयोगबाट ई–भोटिङका बारेमा जानकारी गराउन आइपुगेका कर्मचारीलाई समेत सभापति देउवाले केही बेर रोकिन आग्रह गरे ,National
3338, यी सबै अवसरका कारण पनि शम्भु प्रधानद्वरा निर्देशित रंगवैजनीको जति चर्चा छ चलचित्र बजारमा नायक दिक्पाल कार्कीको समेत त्यती नै चर्चा चल्ने गरेको छ ,Entertainment
3339,"कार्यक्रम अघि एकेडेमीले भृकुटीमण्डबाट भद्रकाली, शहिदगेट हुँदै त्रिपुरेश्वरसम्म वाकाथन गरिएको थियो ",Sports
3340,नेपाल सरकारद्वारा दोलखाको डाँङ्डुङे डाँडामा प्रस्तावित फिल्म सिटीलाई प्रधानमन्त्री केपी शर्मा ओलीले अनुपयुक्त भनेका छन् ,Entertainment
3341,"उनले निजी, समूहगत, दलगत र गुटगत स्वार्थपूर्तिका निम्ति नभइ मुलुकको प्रगतिका निम्ति खेलकुदलाई अगाडि बढाइनुपर्ने धारणा राखे ",Sports
3342," अख्तियार प्रवक्ता कृष्णहरि पुष्करले गत आर्थिक वर्षमा राजस्व संकलन, नीतिगत परिवर्तन र सेवा प्रवाहमा व्यापक सुधार भएको दाबी गरे ",Economy
3343,रेमिट्यान्स आप्रवाहको स्थिति डलरमा हेर्ने हो भने अझ भयावह रहेको रेमिट्यान्स सेवा प्रदायक कम्पनी आइएमइका प्रमुख कार्यकारी अधिकृत सुमन पोखरेलले बताए ,Economy
3344," तर, समितिको नेतृत्व र कार्यविधिप्रति सल्लाहकार समितिका सदस्यहरु सन्तुष्ट छैनन् र समिति गठन भएको लामो समय हुँदा पनि बैठक बसेको छैन ",Sports
3345," बरु, अन्तर्वार्ताकारले उनका अभिव्यक्तिप्रति बारम्बार आपत्ति जनाएका छन् ",National
3346, कांग्रेसले मधेस समस्या समाधानको श्रेय आफूले लिन खोजेको एमालेको बुझाइ छ ,National
3347, फिफाले थाइल्याण्ड फुटबल एशोसिएनका पूर्व अध्यक्ष वारावी माकुडीमाथि पाँच वर्षे प्रतिवन्ध लगमएको छ ,Sports
3348,"पार्टीको विधानअनुसार पदाधिकारीका लागि निर्वाचित केन्द्रीय सदस्यमध्येबाट एक उपसभापति, एक महामन्त्री र एक सहमहामन्त्री मनोनित गर्नुपर्नेछ",Sports
3349,"तर, विमानमा आफूसँगै अन्य मानिसले पनि यात्रा गर्दैछन् भन्ने कुरा भुल्नुहुँदैन ",National
3350,भारतबाट कसरी आपूर्ति बढाउने भन्ने विषयमा मन्त्रालय तथा कूटनीतिक पहल भएको उनी बताउँछन् ,Economy
3351,प्रत्येक प्रदेशमा कम्तीमा एक÷एकवटा श्रम कार्यालय रहने व्यवस्था मिलाइने र श्रम विवाद सिर्जना हुन नदिन श्रम निरीक्षण प्रणाली लागू गरिने कार्यक्रममा रहेको छ ,Economy
3352," सुजुकीमोटरसाईकल आफ्नो बेग्लै टेक्नोलोजी, गुणस्तरिय निर्माण र बस्तुको मोडेल अनुसारको उत्पादनका लागी ख्यातिप्राप्त छ ",Economy
3353, खरायोले प्रशस्तै बच्चा जन्माउने भएकाले व्यवसाय विस्तार गर्न ठूलो पुँजी खर्चिनुपर्दैन ,Economy
3354,"महोत्सवका आकर्षणमहोत्सवमा सिनेकर्मी, फिल्मपारखी, बुद्धिजीवी, पत्रकार, कलाकार तथा पर्वतप्रेमीहरुको सहभागिता हुनेछ ",Entertainment
3355,महोत्तरी जिल्लाको भटौलिया गाविसमा आजदेखि सुरु हुन लागेको महाविरी झन्डा मेला स्थगन भएको छ ,Sports
3356, यसअघि ब्राजिलियन सुपरस्टार रोनाल्डिन्हो र अर्जेन्टाइन अभिनेता जुहान रोमनले पनि चापेकोएन्सका लागि आफू उपलब्ध हुने प्रतिबद्धता व्यक्त गरेका थिए ,Sports
3357,’ टियू मैदान र सुरक्षा व्यवस्था राम्रो रहे नेपालले नै प्रतियोगिता आयोजना गर्न पाउने विश्वास आइसिसीका पदाधिकारीले दिएको सिइओ घिमिरेले जनाइन् ,Sports
3358, बुधबार एक स्वर्ण जितेको मध्यमाञ्चल विकास क्षेत्रले बिहीबार पनि एक स्वर्ण थप्यो ,Sports
3359," त्यसपछि रागीनी एमएमएस, लैला तेरी ले लेगी, लगायत आधा दर्जन बढी फिल्ममा काम गरेकी छिन् ",Entertainment
3360,सिंहदरबार घेराउ गर्न आएका मधेसी तथा जनजाति आन्दोलनकारीलाई मध्यनजर गर्दै मुख्य नाका काठमाडौंको नागढुंगामा कडा चेक भइरहेको छ,Entertainment
3361,‘एन्टि स्नेक भेनम’ स्टक पर्याप्तपुर्वी नेपालमा सर्पको टोकाइबाट विष निर्मुलीकरण गर्न प्रयोग गरिने ‘एन्टि स्नेक भेनम’ प्रयाप्त मात्रमा मौज्दात रहेको कार्यालयले जनाएको छ ,National
3362, महोत्सवमा फिक्सनतर्फ स्पेसल मेन्सन राजकुमार राईको ’हेभन इज ब्ल्याक’ले पाएको छ,Entertainment
3363, कांग्रेस सरकारमा आए उपप्रधानमन्त्री र मन्त्रीको संख्या घटाउन आफू तयार रहेको प्रधानमन्त्री ओलीले बताए ,National
3364, अत्यावश्यकीय सेवा प्रदान गरिरहेका रहेका राजधानी लगायत आसपासका क्षेत्रका पेट्रोल पम्पहरु अधिकांशमा अहिले ‘पेट्रोल छैन’ भन्ने बोर्ड राखिएको छ ,Economy
3365, यस वर्ष उनले प्रिमियर लिग क्लबबाट बिदा लिएर फ्रान्सको निस क्लबमा अनुबन्धित छन्,Sports
3366, अष्ट्रेलियामा रहेका गायकद्वय अबुन पाण्डे र टीका दाहालको स्वरमा रहेको उक्त गीत रमेश दाहालले लेखेका हुन् ,Entertainment
3367, यसअघि सिनियर टोलीका प्रमुख प्रशिक्षक प्याट्रिक ओसेम्स अखिल नेपाल फुटबल संघ (एन्फा)सँग आन्तरिक विवादका कारण नेपाल आएनन् ,Sports
3368," फिल्म जज्बाका निर्माण पक्षका एक व्यक्तिले भनेका छन्, हामीले देखिरहेका छौं, प्रशंसकका कारण सेलिब्रेटीहरु नराम्रा घटनामा परेका छन् ",Entertainment
3369,भ्यालेन्टाइन डेका दिन क्रइसचर्चको ह्याग्ली ओभरमा क्रिकेट फ्यानहरु न्यूजिल्याण्ड र श्रीलंकाको विश्वकप क्रिकेटको उद्घाटन हेरिहेका थिए ,Sports
3370, कर्णालीका विभिन्न ठाउँ खाद्यान्न उत्पादनमा ह्रास आएको र भोकमरी सुरु भएको विषयमा आयोगले चासो देखाएको हो ,Economy
3371, उक्त नीतिका अधिकांश लक्ष्य तथा उद्देश्य प्रविधिसँग जोडिएका निकायबाट पूरा गर्ने उल्लेख छ ,Economy
3372, उनीहरुको विश्वास जितेपछि डोभल गोल्डेन टेम्प्लमा पसेर जासूसी गर्न थाले ,National
3373,’बसका चालकहरु महिला नै राख्न खोजिएको तर महिला चालकहरु नपाइएको लगानीकर्ता मध्येका एक शंकर गिरीले जानकारी दिए ,Economy
3374,"“धेरै कर गर्नु हुन्न छोरी, अर्को कस्तो पर्छ पर्छ !”बुवाले चुरोट सल्काउनुभयो ",Entertainment
3375,मलेसियामा कमाउन गएका सुर्खेत दशरथपुरका कमल खत्री एक महिनाअघि सडक दुर्घटनामा परे ,National
3376, त्यसैले कानुनी रुपमै परिपक्व भएपछि मात्रै चालक अनुमतिपत्र दिने गरी यो व्यवस्था प्रस्ताव गरेका हौं’ श्रेष्ठले भने ,Economy
3377, उत्पादनमूलक क्षेत्रमा आफ्नो उपस्थिति कायम राख्न सरकारले कुनै पनि संस्थानलाई पूर्ण निजीकरण नगर्ने भएको हो ,Economy
3378, मैथिली साहित्य परिषद् राजविराजले भव्यताका साथ विद्यापति स्मृति पर्व समारोह र अन्तर्राष्ट्रिय मातृभाषा दिवस विभिन्न कार्यक्रमको आयोजना गरी मनाईने भएको छ ,National
3379, यसअघि आधुनिक तथा पप गीत गाउदै आएकी सोनिकाले चर्चाका लागि आइटम नम्बर दिएर एल्बम बजारमा ल्याउन लागेको बताएकी छन्,Entertainment
3380," गत शनिबार खाँडो नदीमा आएको बाढीमा तिलाठी, सकरपुरा, लौनिया, रम्पुरा मल्हनियालगायतका गाविसहरु डुबानका परेको थियो ",National
3381,धनगढीमा भएको छैटौं राष्ट्रिय खेलकुदमा मध्यपश्चिमाञ्चलको टोलीबाट प्रशिक्षक चन्द्रबहादुर गुरुङसँग पाँच दिनको प्रशिक्षण लिएर सहभागी भइन् ,Sports
3382, हालै भारतीय पत्रिका आउटलुकले अजित फर्मूला नेपालसहित छिमेकी मुलुकमा असफल भएको टिप्पणी गरेकेा छ ,National
3383,के कुरा स्वीकार गर्नुपर्दछ भने जनताले तिरेको कर गुगल ब्वाइको प्रतिष्ठान सञ्चालनका लागि होईन ,National
3384," आक्रामक ब्याट्सम्यान ग्लेन म्याक्सवेल, श्रीलंकाबिरुद्धको आसन्न एकदिवशीय सिरिजका लागि अष्ट्रेलियाको टिममा पर्न असफल भएका छन् ",Sports
3385,साथै एउटा कार्डले परिवारका अन्य सदस्यहरुले पनि यात्रा गर्न पाउने व्यवस्था गरिएको प्रालिका अध्यक्ष बद्रि अधिकारीले बताए ,Economy
3386,’यो कुरा कसैबाट छिपेको छैन कि नेकपा एमालेमाथि जनजाति र मधेसी समुदायप्रति अनुदार रहेको आरोप लाग्दै आएको छ ,National
3387," आन्दोलनरत मधेशवादी दल निकटका महिला सङ्गठनहरुले ‘संविधानलाई ब्यवहारमा उतारौं, महिला अधिकार सुनिश्चित गरौं’ भन्ने नाराका साथ र्याली निकालेका छन् ",National
3388, त्यो राष्ट्रघाती कामको सुरुवात मैले नै गरेको हुँ भनेर भनिदिनुस् ,National
3389,ओपनरका रुपमा मेडन इनिङमै शतक बनाउने भने उनी पहिलो अष्ट्रेलियाली ब्याट्सम्यान बने ,Sports
3390,‘माथि उल्लेख गरिएका चारवटा पक्षले एयरलाइन्स सेवाको गुणस्तर मापन गर्छ’ शर्माले भने- ‘एयरलाइन्स सञ्चालकले यी चारवटा मन्त्रहरुलाई मनन गर्नैर्पर्छ ,Economy
3391,दिनेशकुमार पोखरेलले निर्माण गरेको यो चलचित्र भूल भुलैया तीन पुस्ताको प्रेमको कथामा आधारित रहेको छ  ,Entertainment
3392," सरकारले आफ्नो आन्दोलनमा भिजिलान्ते परिचालन गरे आफूहरुले जनस्वयमसेवक बनाएर प्रतिबाद गर्ने बताउँदै प्रचण्डले भने, ईटको जवाफ पत्थरले दिइनेछ ",National
3393,"कारागारमा क्षमताभन्दा बढी कैदी राखिएपछि उनीहरुलाई खान, सुत्न र शौचालय जानसमेत समस्या हुने गरेको छ ",National
3394, विश्व नम्बर एक जोकोभिकलाई पराजित गरेसँगै वारिन्काले तेस्रो ग्रान्डस्लाम टेनिस प्रतियोगिताको उपाधि जित्न सफल भए ,Sports
3395, पूर्वमन्त्री खुमबहादुर खड्काको नेतृत्वमा तीनकुनेतर्फबाट आएको टोलीले निशेधित क्षेत्र तोडेपछि प्रहरीले अश्रुग्यास र पानीको फोहोरा छोडेको थियो ,National
3396," ‘केन्द्र सरकार र स्थानीय आयोजकबीचको सहकार्य राम्रो भए, हामी फिफाले दिएको समयभित्रै सबै रंगशाला अन्तर्राष्ट्रियस्तरकै बनाउछौँ ",Sports
3397,बारीमा उम्रेको कालुङ्गे च्याउ खानासँग खाएका उनीहरु सिकिस्त बिरामी परेका थिए,Entertainment
3398," तर, अहिले जुनसुकै तहका हाकिमलाई सजिलै आफ्नो कुरा भन्न सक्ने स्थितिमा पुगेको छ ",National
3399,गायक कमल खत्रीले नयाँ वर्षको उपाहारस्वरुप स्रोतालाई नयाँ गीत दिने भएका छन् ,Entertainment
3400, नेपालले अरू देशसँग सहकार्य गरेर अध्यागमनसम्बन्धी अपराधविरुद्ध लड्न चासो दिएको छैन ,National
3401,ढुंगा हस्तान्तरण कार्यक्रममा ओलीले सञ्जयको संसारका हिमाल जित्ने अभियानलाई सहयोग गर्ने बताए ,National
3402," वील यू म्यारी मी ?’ लभ, रोमान्स, ड्रामा, एक्सन र सस्पेन्सको फ्युजन रहेको फिल्मलाई दिनेश डिसीले निर्देशन गरेका हुन् ",Entertainment
3403, पार्टीबाट निस्कदै गर्दा सलमानले आमिरलाई  बनावटी को संज्ञा समेत दिएका थिए ,Entertainment
3404," उनको साथवाट मेड इन युएसए लेखिएको सिक्सर पेस्तोल एक थान, सोमा लाग्ने तीन राउण्ड गोली,एकथान मोवाइल र एक एक थान नेपाली र भारतीय सिम कार्ड बरामद गरिएको सशस्त्र प्रहरी उपरिक्षक थापाले जानकारी दिए ",National
3405,सद्भावनाका विद्यार्थी संगठन विद्यार्थी मञ्चका केन्दिय अध्यक्ष किशोर कुमार यादवले आन्दोलन शिथिल भएको भन्नुले मनको लड्ड् घ्यूसँग खानु जस्तै भएको बताए ,National
3406," जब कि अलक्ष्मीको सम्बन्ध अमिलो, पिरो र टर्रो चिजसँग सम्बन्धित छ ",National
3407," बोल्न नसक्ने चर्चित साहित्यकार झमक घिमिरे पनि लेख्छिन्, उनले पनि विद्यालयको ढोका टेकेकी छैनन् ",National
3408, सप्तरीको रायपुर गाविसस्थित रुपनीमा शनिबार सम्पन्न ट्वान्टी ट्वान्टी क्रिकेट प्रतियोगिताको फाइनल खेलमा सप्तरीको बिसनपुर बिजयी भएको छ ,Sports
3409," तर, के तिमी देख्दैनौ मेरो अवस्था झन कति भयावह छ? तिम्रा नजरहरुमा गहिरो पिडा देखिन्छ",Entertainment
3410," यस्तै, कप्तान विराज महर्जनले नेपाली फुटबललाई माया गरेकोमा सबैलाई धन्यवाद दिए ",Sports
3411,बाह्रौ दक्षिण एसियाली खेलकुद (साग) प्रतियोगिताको फुटबलतर्फ नेपाल र भारतबीच पुरुष तथा महिला दुबैतर्फका दुई फाइनल खेल हुने भएका छन् ,National
3412,"महानगरीय ट्राफिक महाशाखाले आइतबार पत्रकार सम्मेलन गरी उपत्यकाका तीनवटै परिसर काठमाडौं,ललितपुर र भक्तपुरको समन्वयमा विशेष सुरक्षा योजना लागू गरिएको जानकारी दिएको हो ",Sports
3413,सशस्त्र प्रहरी बल हलचोकमा आयोजित कार्यक्रममा भूकम्पप्रतिरोधी भवन निर्माण र गुणस्तरीय निर्माण सामग्री छनोटसम्बन्धी तालिम प्रदान गरिएको कम्पनीले बताएको छ ,Economy
3414, संस्थाले बार्सिलोनाले वास्तविक रकम लुकाएर गैरकानुनी काम गरेको दाबी गर्दै आएको छ ,Sports
3415, नयाँ के छ ? प्रोडक्टको ड्युरेबेलिटी के छ ? पर्फमेन्स के छ ? भन्नेमा चासो राख्छन् ,National
3416,”सुन्द्रावतिमात्रै होइन दोलखाका अधिकांश गाविसमा पुनर्निर्माणको काम सुरू हुन सकेको छैन ,National
3417,क्रियाशील सदस्यहरुको नामावली बेवसाइटमा प्रकाशन गरिने कांग्रेसले जनाएको छ ,National
3418," रातो बस्त्रमा सजिएकी, कमलको फूलमाथि बसेकी, सुन र अन्नले भरिएको भाँडो हातमा लिएकी लक्ष्मीलाई सुख, समृद्धि र शक्तिको देवीको रुपमा लिइन्छ ",National
3419, पूर्व बिजेता चोचोङ युथ क्लबले रामेछापको भुजीमा जारी जिल्लाकै सर्बाधिक पुरस्कार राशीको भुजी लिग रनिङ शिल्ड फुटवल प्रतियोगितामा खराव प्रदर्शन गरेको छ ,Sports
3420,नामिबिया विरुद्धको जितले नेपालको विश्वकप छनोट खेल खेल्ने आशा जिवित राखेको छ ,Sports
3421, सर्वनामको खचाखच प्रेक्षालयबाट गजलका लागि हुटिंगसँगै आएको तालीले अतिथिका रुपमा निम्त्याइएका गजलकार ज्ञानुवाकर पौडेल पनि दंग थिए ,Entertainment
3422,बर्दियाकी केशरी अब्बल भइरहँदा उनलाई खुसी हुनुपर्ने धेरै कारणहरु छन् ,Sports
3423, भवन उद्घाटनका अवसरमा विभिन्न क्षेत्रसँग सम्वन्धित विशिष्ट व्यक्तिहरुको सहभागिता रहेको थियो ,National
3424," मेरा बाँच्ने दिन रहेछन्, कसो कसो खुकुरी झिक्न सकेँ र त्यसैले प्रहार गरेपछि भालु भाग्यो तर त्यति बेलासम्म मेरो पिँडुलाको मासु लुछिसकेको थियो",Sports
3425," कृत्रिम घाँसेमैदान, बलिङ मेशीन, बलिङ गति नाप्ने स्पीड गन जस्ता थुप्रै सुविधा उपलब्ध छन्",Sports
3426, इंग्लिस प्रिमियर लिग फुटबलमा शीर्ष स्थानको म्यान्चेस्टर सिटीले एभर्टनसँग बराबरी खेल्दै अंक बाँडेको छ ,Sports
3427,नेपाल उद्योग वाणिज्य महासंघकी वरिष्ठ उपाध्यक्ष भवानी राणाले ऐन पारित भए रूग्ण उद्योगको समस्या समाधान भई मुलुक औद्योगीकीकरणको नयाँ चरणमा प्रवेश गर्ने बताइन् ,Economy
3428, मैले मेरो क्षमता मैदानमा देखाइरहेको छु र अहिलेसम्म राम्रो गरिरहेको छु ,Sports
3429,"पोखरामा स्थापना भएको हेम देवी धर्म, संस्कृति तथा समाजसेवा पुरस्कारबाट वरिष्ठ सस्कृतिविद् सत्यमोहन जोशीलाई सम्मानित हुने भएका छन्",Entertainment
3430," “आपूर्ति बढाउन अहिले पनि हाम्रा दुईजना कर्मचारी हल्दिया र बरौनीमा छन्,” घिमिरेले भने, “पुरानो अभावले गर्दा ग्यास आपूर्ति भए पनि पर्याप्त हुन सकेको छैन ",Economy
3431, यसैगरी नेकपा एमालेका केन्द्रीय सदस्य सुमनराज प्याकुरेलको घरमा समेत ढुङ्गामुढा गर्दा झ्यालका सिसाहरु फुटेका छन् ,National
3432,’शर्माले नेपालले अब ककसमार्फत आफ्नो देशलाई फाइदा हुने कुरा अघि बढाउन सक्ने समेत धारणा राखे ,National
3433, बिहीबारदेखि राजधानीमा सुरु दुई दिने अन्तर्राष्ट्रिय बौद्ध सम्मेलनका सहभागीले बुद्धका विभिन्न रूप हुने भन्दै शाक्यमुनि बुद्धको जन्मबारे विवाद गर्नु आवश्यक नरहेको बताएका हुन् ,Economy
3434,पुस्तकबारे चर्चा गर्दै आर्थिक टिप्पणीकार आशुतोष तिवारीले नेपालमा प्रकाशित अंग्रेजी पुस्तकले पहिलोपटक आफूलाई लेखनशैलीदेखि भाषाको पकडसम्म सन्तुष्ट पारेको सुनाए ,Entertainment
3435,तपाईंको विचारमा प्रेम के हो ?प्रेमको परिभाषा व्यक्तिपिच्छे भिन्न हुन्छ ,Entertainment
3436, सबै समूहगत उपसूचकहरु बढेपछि नयाँ वर्षसँगै लगानीकर्ताको उत्साह थपिएको हो ,Economy
3437,प्रत्यक्ष प्रसारणमा गरिएका कुराकानीलाई सेन्सर हुँदैन भन्ने सबैलाई जानकारी भएकै हो ,National
3438, नेपाल–भारत सीमाको नजिकै रहेको विमानस्थलबाट हुने प्रत्येक उडानले सीमा वारपार गर्नुपर्ने बाध्यता छ ,Economy
3439,"“विशेषगरी दक्षिणी सीमा नाकामा देखिएको अवरोधलाई ख्याल गरी उत्तरी सीमा नाकाको सुदृढीकरण आवश्यक भएको छ,” सल्लाहकार नेपालले भने, “ती क्षेत्रमा पूर्वाधार विस्तारका लागि थप रकम आवश्यक पर्छ ",Economy
3440, दिवङ्गत आत्माको चिर शान्तिको कामनासहित शोकाकुल परिवारजनक प्रति मैथिली साहित्य परिषद राजविराजले हार्दिक सम्वेदना व्यक्त गरेको छ ,National
3441," उनले भने, “एक हजार नेपाली रुपैयाँको पाँचसय मात्र भारु दिने भन्छन्, के गर्नु समस्यामा परेको छु ",Economy
